split,pred_score,final_score,applied_constraints,relaxed_constraints,count
train,3:0,2:0,outcome_btts_over25,none,2
train,0:1,0:0,outcome_btts_over25,none,1
train,0:1,1:2,outcome_btts,over25,1
train,0:2,1:1,outcome_btts_over25,none,1
train,0:2,1:2,outcome_btts_over25,none,1
train,0:3,1:3,outcome_btts,over25,1
train,1:0,3:0,outcome_btts_over25,none,1
train,1:2,2:1,outcome_btts,over25,1
train,2:0,1:2,outcome_btts_over25,none,1
train,2:2,0:2,outcome_btts_over25,none,1
train,2:2,1:2,outcome_btts,over25,1
train,2:2,3:0,outcome_btts_over25,none,1
train,4:0,4:1,outcome_btts_over25,none,1
validation,2:1,3:0,outcome_btts_over25,none,140
validation,1:1,0:0,outcome_btts_over25,none,98
validation,2:1,2:0,outcome_btts_over25,none,86
validation,1:1,1:0,outcome_btts_over25,none,65
validation,2:1,2:2,outcome_btts_over25,none,64
validation,1:2,0:3,outcome_btts_over25,none,58
validation,1:1,2:2,outcome_btts_over25,none,48
validation,2:1,1:1,outcome_btts_over25,none,45
validation,1:2,2:2,outcome_btts_over25,none,44
validation,3:1,3:0,outcome_btts_over25,none,26
validation,1:1,2:1,outcome_btts,over25,24
validation,1:2,1:1,outcome_btts_over25,none,24
validation,1:1,3:0,outcome_btts_over25,none,23
validation,1:1,0:0,outcome_btts,over25,21
validation,1:1,0:1,outcome_btts_over25,none,20
validation,2:2,2:1,outcome_btts_over25,none,20
validation,1:1,1:2,outcome_btts,over25,19
validation,2:0,3:0,outcome_btts_over25,none,19
validation,1:1,0:3,outcome_btts_over25,none,18
validation,2:2,1:2,outcome_btts_over25,none,18
validation,1:2,0:2,outcome_btts_over25,none,14
validation,1:1,1:2,outcome_btts_over25,none,13
validation,2:1,0:0,outcome_btts_over25,none,10
validation,1:1,2:1,outcome_btts_over25,none,9
validation,1:2,0:0,outcome_btts_over25,none,7
validation,2:1,0:0,outcome_btts,over25,7
validation,2:1,1:2,outcome_btts_over25,none,4
validation,1:3,0:3,outcome_btts_over25,none,3
validation,0:2,1:1,outcome_btts_over25,none,2
validation,0:3,1:3,outcome_btts_over25,none,2
validation,1:2,0:0,outcome_btts,over25,2
validation,2:0,0:0,outcome_btts_over25,none,2
validation,2:0,2:1,outcome_btts,over25,2
validation,4:1,4:0,outcome_btts_over25,none,2
validation,0:2,1:2,outcome_btts,over25,1
validation,1:2,2:1,outcome_btts,over25,1
validation,1:2,2:1,outcome_btts_over25,none,1
validation,2:0,1:1,outcome_btts_over25,none,1
validation,2:1,1:2,outcome_btts,over25,1
validation,2:2,0:3,outcome_btts_over25,none,1
validation,2:2,1:1,outcome_btts_over25,none,1
