split,row_id,true_score,pred_score,direct_outcome,derived_outcome,direct_btts,derived_btts,direct_over25,derived_over25,conflict_pattern
train,49,1:1,2:1,D,H,1,1,0,1,outcome:D!=H|over25:0!=1
train,52,1:3,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
train,53,3:2,1:2,A,A,0,1,0,1,btts:0!=1|over25:0!=1
train,54,0:2,1:2,A,A,0,1,1,1,btts:0!=1
train,55,4:0,2:1,H,H,0,1,1,1,btts:0!=1
train,56,2:1,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
train,58,2:2,1:1,D,D,0,1,0,0,btts:0!=1
train,59,2:0,1:0,D,H,0,0,0,0,outcome:D!=H
train,62,0:0,2:1,H,H,1,1,0,1,over25:0!=1
train,63,0:1,1:3,A,A,0,1,1,1,btts:0!=1
train,65,0:0,1:1,D,D,0,1,0,0,btts:0!=1
train,67,2:0,2:1,H,H,0,1,1,1,btts:0!=1
train,68,1:0,1:1,D,D,1,1,1,0,over25:1!=0
train,70,0:4,2:1,H,H,0,1,1,1,btts:0!=1
train,71,1:1,1:1,D,D,0,1,0,0,btts:0!=1
train,73,0:0,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
train,74,1:2,1:2,D,A,1,1,0,1,outcome:D!=A|over25:0!=1
train,75,1:2,1:1,H,D,1,1,0,0,outcome:H!=D
train,76,1:1,1:2,A,A,0,1,1,1,btts:0!=1
train,77,1:0,2:1,D,H,0,1,0,1,outcome:D!=H|btts:0!=1|over25:0!=1
train,79,1:1,2:1,D,H,1,1,1,1,outcome:D!=H
train,80,0:2,2:1,D,H,1,1,0,1,outcome:D!=H|over25:0!=1
train,82,2:2,2:1,D,H,1,1,1,1,outcome:D!=H
train,83,1:0,3:1,H,H,0,1,1,1,btts:0!=1
train,84,2:1,2:1,D,H,0,1,0,1,outcome:D!=H|btts:0!=1|over25:0!=1
train,86,0:0,1:1,H,D,0,1,1,0,outcome:H!=D|btts:0!=1|over25:1!=0
train,89,1:0,1:1,D,D,0,1,0,0,btts:0!=1
train,90,1:0,1:2,D,A,1,1,0,1,outcome:D!=A|over25:0!=1
train,91,2:2,2:1,H,H,0,1,1,1,btts:0!=1
train,92,6:1,2:1,D,H,0,1,1,1,outcome:D!=H|btts:0!=1
train,93,0:0,1:2,D,A,1,1,0,1,outcome:D!=A|over25:0!=1
train,98,2:1,1:2,D,A,1,1,0,1,outcome:D!=A|over25:0!=1
train,100,4:2,1:1,H,D,0,1,0,0,outcome:H!=D|btts:0!=1
train,101,1:0,2:1,D,H,1,1,0,1,outcome:D!=H|over25:0!=1
train,103,0:3,2:1,D,H,1,1,0,1,outcome:D!=H|over25:0!=1
train,105,2:2,2:1,H,H,1,1,0,1,over25:0!=1
train,107,0:1,2:1,H,H,1,1,0,1,over25:0!=1
train,108,0:0,1:1,D,D,0,1,0,0,btts:0!=1
train,109,2:1,1:1,D,D,0,1,0,0,btts:0!=1
train,110,0:1,2:1,H,H,0,1,1,1,btts:0!=1
train,111,0:0,1:2,A,A,0,1,1,1,btts:0!=1
train,112,2:1,2:1,D,H,1,1,1,1,outcome:D!=H
train,114,4:1,2:1,H,H,0,1,1,1,btts:0!=1
train,115,2:0,1:2,A,A,1,1,0,1,over25:0!=1
train,116,1:2,1:2,A,A,0,1,1,1,btts:0!=1
train,117,0:3,1:2,A,A,1,1,0,1,over25:0!=1
train,119,0:1,1:1,D,D,0,1,0,0,btts:0!=1
train,122,0:2,1:1,D,D,0,1,0,0,btts:0!=1
train,123,0:1,1:1,D,D,1,1,1,0,over25:1!=0
train,125,1:2,1:2,A,A,0,1,1,1,btts:0!=1
train,126,1:1,2:1,D,H,1,1,1,1,outcome:D!=H
train,127,2:1,3:1,H,H,0,1,1,1,btts:0!=1
train,129,1:3,2:1,H,H,0,1,1,1,btts:0!=1
train,130,1:1,1:1,D,D,0,1,0,0,btts:0!=1
train,131,1:2,2:1,D,H,1,1,1,1,outcome:D!=H
train,132,2:0,3:1,H,H,0,1,1,1,btts:0!=1
train,133,0:2,2:1,H,H,0,1,0,1,btts:0!=1|over25:0!=1
train,134,1:1,2:1,H,H,0,1,0,1,btts:0!=1|over25:0!=1
train,136,1:0,2:1,H,H,0,1,1,1,btts:0!=1
train,137,1:0,1:1,D,D,1,1,1,0,over25:1!=0
train,140,1:0,2:1,H,H,1,1,0,1,over25:0!=1
train,141,5:3,2:1,D,H,1,1,0,1,outcome:D!=H|over25:0!=1
train,142,3:0,1:2,A,A,0,1,1,1,btts:0!=1
train,143,2:2,1:2,D,A,1,1,1,1,outcome:D!=A
train,145,2:0,2:1,H,H,1,1,0,1,over25:0!=1
train,147,0:0,2:1,H,H,1,1,0,1,over25:0!=1
